Tiempo_ms	Voltaje_V
1869	2.37085
1869	2.38858
1870	2.58360
1871	2.44981
1871	2.87692
1872	2.85758
1872	2.66900
1873	2.78427
1873	2.89308
1874	2.64725
1874	3.04858
1875	2.86645
1875	3.01796
1876	2.62228
1876	3.01232
1877	3.19526
1878	3.21379
1879	3.03972
1879	2.78104
1880	2.84872
1880	2.57555
2039	2.83825
2040	3.01555
2040	3.07678
2040	2.82697
2041	3.12195
2042	2.94706
2042	2.78185
2043	3.01071
2043	3.05180
2043	2.92370
2044	2.96721
2044	3.03649
2044	3.06066
2046	2.76090
2046	2.85597
2047	2.84630
2047	2.64403
2047	2.87531
2048	2.49095
2049	2.67706
2049	2.53365
2049	2.70692
2050	2.49981
2051	2.76815
2051	2.52398
2052	2.36763
2052	2.49659
2052	2.59085
2053	2.37327
2054	2.74398
2054	2.60858
2055	2.60938
2055	3.00910
2056	2.90920
2056	2.63436
2056	2.63033
2057	3.01635
2057	3.22185
2058	2.84389
2059	2.94867
2059	3.22507
2060	3.10905
2062	2.60052
2062	3.30000
2062	2.77379
2063	2.93901
2063	2.45062
2064	2.94062
2064	2.66578
2064	2.97446
2065	2.39341
2065	2.74962
2066	2.59327
2066	2.54412
2067	2.55057
2067	2.70531
2068	2.56507
2068	2.66256
2069	2.32332
2070	2.77621
2071	2.89389
2071	2.58844
2072	2.60455
2072	2.84711
2073	2.86403
2073	3.06308
2075	3.18640
2076	2.93498
2076	3.11550
2077	3.12759
2079	2.93337
2079	2.88739
2080	3.11067
2080	3.15981
2081	2.49337
2081	2.69484
2082	2.53526
2082	2.52801
2083	2.47156
2083	2.62872
2084	2.55379
2085	2.46270
2085	2.57071
2086	2.79232
2087	2.48289
2088	2.84147
2089	2.90678
2089	2.70934
2090	2.90356
2090	2.67787
2091	3.07678
2091	3.13000
2092	3.09697
2093	2.81005
2093	2.93417
2094	2.92209
2094	2.78185
2095	2.65611
2095	3.01232
2096	3.21057
2144	3.12275
2146	3.30000
2146	3.23232
2146	2.86725
2147	2.45142
2148	2.63355
2148	2.68759
2149	2.54090
2149	2.64806
2150	2.39825
2151	2.49256
2151	2.53446
2153	2.65692
2153	2.44659
2154	2.70289
2154	2.67303
2155	2.81246
2156	2.31929
2157	2.82052
2158	2.97848
2158	2.95270
2158	3.01957
2159	3.22910
2159	2.94303
2160	3.11792
2161	3.22024
2162	2.70773
2163	2.74237
2163	2.70289
2164	3.11953
2164	2.75285
2165	2.55540
2166	2.45948
2166	2.52157
2167	2.51190
2168	2.38536
2169	2.45142
2170	2.51915
2170	2.91564
2171	2.37247
2172	3.03730
2173	2.73351
2173	2.50223
2173	2.90275
2174	2.89711
2174	2.88095
2175	3.13645
2176	3.04616
2177	3.15578
2177	2.97929
2178	3.15256
