"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.067261375E0	-3.277805838E-1	-1.872372884E0	-1.759969811E0	2.590504597E0
2.077193375E0	-8.826588374E-1	-2.020160968E0	-1.551249356E0	2.695646773E0
2.087126375E0	-1.482284809E0	-1.950757442E0	-1.522279910E0	2.884433909E0
2.097059375E0	-1.679038792E0	-1.599190092E0	-1.727584423E0	2.891561542E0
2.106992375E0	-1.574870353E0	-1.068513172E0	-1.984382440E0	2.749492807E0
2.116925375E0	-1.112671198E0	-6.521218354E-1	-2.014435959E0	2.391913944E0
2.126858375E0	-7.883536278E-1	-4.403415316E-1	-1.942512867E0	2.142138732E0
2.136791375E0	-2.960816583E-1	-4.401035500E-1	-1.876711226E0	1.950230886E0
2.146724375E0	-3.304115385E-2	-3.755304086E-1	-1.571828046E0	1.616402862E0
2.156657375E0	3.699511416E-2	-3.791293699E-1	-1.529245698E0	1.575975927E0
2.166590375E0	2.413903114E-1	-2.922929549E-1	-1.605783412E0	1.649922671E0
2.176523375E0	2.008202827E-1	-9.219889641E-2	-1.805666971E0	1.819137882E0
2.186456375E0	1.602821944E-1	3.315780580E-2	-2.112968559E0	2.119298458E0
2.196388375E0	1.083360422E-1	2.184648407E-1	-2.282675807E0	2.295663831E0
2.206321375E0	1.230619624E-2	3.501301038E-1	-2.484765521E0	2.509342987E0
2.216254375E0	-4.773813039E-2	4.256381232E-1	-2.645071031E0	2.679523745E0
2.226187375E0	-5.146375693E-2	4.556238145E-1	-2.579367038E0	2.619804553E0
2.236120375E0	3.771541804E-2	5.213576281E-1	-2.150161529E0	2.212788022E0
2.246053375E0	2.755017250E-1	4.956012279E-1	-1.834075668E0	1.919727933E0
2.255986375E0	4.610028874E-1	5.452312249E-1	-1.793327007E0	1.930238976E0
2.265919375E0	4.307915667E-1	7.387652922E-1	-1.966008734E0	2.143955660E0
2.275852375E0	2.614142476E-1	8.520141649E-1	-2.466088929E0	2.622186140E0
2.285785375E0	3.516515493E-3	7.631698161E-1	-2.848767559E0	2.949223142E0
2.295718375E0	-1.498321237E-1	3.684219486E-1	-3.055743206E0	3.081517635E0
2.305651375E0	1.510107031E-1	2.038807154E-1	-2.859260387E0	2.870494999E0
2.315583375E0	4.999058384E-1	3.425269693E-1	-2.487170480E0	2.559931165E0
2.325516375E0	4.962063416E-1	3.615514702E-1	-2.270239949E0	2.351792854E0
2.335449375E0	4.237055818E-1	2.286916208E-1	-2.318932053E0	2.368390201E0
2.345382375E0	4.720935937E-1	2.519448280E-1	-2.418228300E0	2.476727007E0
2.355315375E0	4.052243604E-1	4.454783106E-1	-2.460269195E0	2.532899963E0
2.365248375E0	3.205970601E-1	6.489953291E-1	-2.161647799E0	2.279626860E0
2.375181375E0	3.174533777E-1	8.675975794E-1	-1.360532477E0	1.644551862E0
2.385114375E0	2.988980245E-1	8.702674180E-1	-6.567101455E-1	1.130474955E0
2.395047375E0	-1.226179578E-1	4.799605107E-1	-3.207279646E-1	5.901386979E-1
2.404980375E0	-5.331975454E-1	-6.139225602E-2	1.368289393E-1	5.538869832E-1
2.414913375E0	-3.893677348E-2	-6.758431122E-1	6.944492447E-1	9.698142802E-1
2.424846375E0	6.224418072E-1	-9.893790016E-1	1.179032564E0	1.660247692E0
2.434778375E0	1.784384276E0	-9.746358320E-1	1.768807293E0	2.694925136E0
2.444711375E0	3.422267733E0	-6.969062448E-1	2.762110069E0	4.452734753E0
2.454644375E0	4.021894435E0	-1.142458230E-1	3.489201395E0	5.325712472E0
2.464577375E0	3.806447050E0	4.539810392E-1	4.114292722E0	5.623392440E0
2.474510375E0	3.107265654E0	5.954766414E-1	4.287243420E0	5.328240650E0
2.484443375E0	2.512050383E0	4.801274487E-1	3.708276100E0	4.504689904E0
2.494376375E0	2.096602203E0	6.266715369E-1	2.762684265E0	3.524327221E0
2.504309375E0	1.885922053E0	1.032836678E0	1.673493585E0	2.724708126E0
2.514242375E0	1.857285899E0	1.393308460E0	6.280079180E-1	2.405247039E0
2.524175375E0	2.056398210E0	1.565130061E0	-1.413447440E-2	2.584299806E0
2.534108375E0	2.593710843E0	1.571027855E0	5.394758105E-2	3.032882259E0
2.544041375E0	2.826053173E0	1.387522055E0	5.314165932E-1	3.192835352E0
2.553973375E0	3.031465566E0	8.029168493E-1	1.474507574E0	3.465347245E0
2.563906375E0	2.682202020E0	6.312127769E-2	2.436245325E0	3.624014798E0
2.573839375E0	1.410217438E0	-1.897515035E-1	2.866510350E0	3.200250059E0
2.583772375E0	-7.711936578E-2	-1.730767062E-1	2.392963650E0	2.400453702E0
2.593705375E0	-1.432633324E0	-2.197035733E-1	1.615483943E0	2.170367773E0
2.603638375E0	-2.569653059E0	-1.507394654E-1	8.429620904E-1	2.708583452E0
2.613571375E0	-3.536176171E0	8.960448682E-2	2.644742417E-1	3.547184447E0
2.623504375E0	-4.234824302E0	4.371641546E-1	-1.317371839E-1	4.259366625E0
2.633437375E0	-4.704747774E0	9.471214664E-1	-3.878580934E-1	4.814781884E0
2.643370375E0	-5.303814021E0	1.171368911E0	-5.899986774E-1	5.463574539E0
2.653303375E0	-5.888598737E0	1.038985902E0	-5.568712771E-1	6.005430243E0
2.663236375E0	-6.431978733E0	6.769602227E-1	-1.647160649E-1	6.469602534E0
2.673168375E0	-7.108750675E0	4.125353900E-1	3.964833212E-1	7.131740365E0
2.683101375E0	-7.608581779E0	9.079439521E-2	7.541680276E-1	7.646406327E0
2.693034375E0	-7.918345045E0	-3.042130888E-1	6.654388690E-1	7.952077888E0
2.702967375E0	-7.993099358E0	-7.670409653E-1	-1.781921428E-1	8.031795667E0
2.712900375E0	-7.675618937E0	-1.230249203E0	-1.163916927E0	7.860238023E0
2.722833375E0	-7.002029049E0	-1.366494298E0	-1.501650349E0	7.290450689E0
2.732766375E0	-5.915100657E0	-1.335401144E0	-7.985524875E-1	6.116322267E0
2.742699375E0	-5.376145248E0	-1.435419522E0	9.954451954E-1	5.652811519E0
2.752632375E0	-5.792264689E0	-2.084501098E0	2.121865098E0	6.511358272E0
2.762565375E0	-5.950541216E0	-3.023335598E0	2.138423243E0	7.008734041E0
2.772498375E0	-6.140662848E0	-3.346743049E0	1.726458249E0	7.203408036E0
2.782431375E0	-5.820088080E0	-3.246931662E0	1.117066112E0	6.757501548E0
2.792363375E0	-4.772647689E0	-2.966280514E0	5.705093229E-1	5.648226884E0
2.802296375E0	-3.902001956E0	-2.495801848E0	5.796520293E-2	4.632278715E0
2.812229375E0	-3.000739617E0	-2.192816967E0	-3.920610720E-1	3.737190975E0
2.822162375E0	-2.131184098E0	-1.979301209E0	-7.005666018E-1	2.991717316E0
2.832095375E0	-1.529393341E0	-1.807574333E0	-5.462088794E-1	2.429961543E0
2.842028375E0	-7.866460946E-1	-1.956159099E0	5.253138542E-2	2.109059043E0
2.851961375E0	1.735190846E-1	-2.034304505E0	5.447856671E-1	2.113124491E0
2.861894375E0	1.643782274E0	-1.765991566E0	8.964506650E-1	2.573785184E0
2.871827375E0	2.932972434E0	-1.202625787E0	9.071633488E-1	3.297208126E0
2.881760375E0	3.563935535E0	-8.640021265E-1	2.424542123E-1	3.675176216E0
2.891693375E0	3.926744741E0	-8.536338437E-1	-6.472031575E-1	4.070244087E0
2.901626375E0	4.162014772E0	-7.076753542E-1	-1.126377802E0	4.369427689E0
2.911559375E0	4.829244059E0	-5.052617052E-1	-8.364822060E-1	4.927127972E0
2.921491375E0	6.235353243E0	-2.729395482E-1	1.387228525E-1	6.242865535E0
2.931424375E0	7.634722926E0	1.644508937E-1	1.057669510E0	7.709390576E0
2.941357375E0	8.741159384E0	5.753025779E-1	1.431442246E0	8.876253001E0
2.951291000E0	9.070731263E0	7.362927970E-1	8.793545759E-1	9.142951230E0
2.961224000E0	9.002022970E0	7.487365490E-1	-1.836955422E-1	9.034974711E0
2.971157000E0	8.600077180E0	8.955449313E-1	-1.169128550E0	8.725261589E0
2.981090000E0	8.047871981E0	1.114404751E0	-1.677297199E0	8.295991036E0
2.991023000E0	7.911171096E0	1.150526511E0	-1.820724721E0	8.199108358E0
3.000956000E0	8.266622751E0	1.182791739E0	-1.611149402E0	8.504813366E0
3.010889000E0	8.767994011E0	1.262491627E0	-1.099492890E0	8.926392816E0
3.020822000E0	8.907239020E0	1.285063926E0	-7.457796121E-1	9.030309158E0
3.030755000E0	8.950302594E0	1.166333581E0	-6.603120303E-1	9.050097376E0
3.040688000E0	8.843753461E0	1.157042940E0	-6.391082722E-1	8.941989880E0
3.050620000E0	8.640630544E0	1.159705031E0	-8.382574207E-1	8.758315333E0
3.060553000E0	8.449676269E0	1.196833974E0	-9.518881166E-1	8.586939594E0
3.070486000E0	8.107735190E0	1.218428326E0	-8.587846559E-1	8.243630789E0
