"Time (s)"	"Sound pressure level (dB)"
4.357888225E1	6.442625780E1
4.368413504E1	6.882045586E1
4.378774554E1	6.821811384E1
4.388977829E1	6.922715447E1
4.399631583E1	6.295633754E1
4.410187325E1	7.033654504E1
4.420663175E1	7.515583612E1
4.430966925E1	6.184979349E1
4.441623712E1	6.124460732E1
4.452210000E1	6.092396987E1
4.462868375E1	6.965956356E1
4.473510175E1	8.283455944E1
4.483806762E1	7.081104339E1
4.494017379E1	6.823382443E1
4.504659375E1	6.526498269E1
4.515172767E1	5.859797766E1
4.525492021E1	6.026944579E1
4.535688925E1	5.721763146E1
4.546341404E1	5.670246837E1
4.556842933E1	6.551365300E1
4.567377550E1	6.223420825E1
4.578026471E1	6.188846679E1
4.588647367E1	5.519682342E1
4.599045367E1	7.066348601E1
4.609700813E1	6.619387916E1
4.620181513E1	6.725402170E1
4.630718788E1	6.769844891E1
4.640975021E1	6.907882959E1
4.651629379E1	6.486449798E1
4.662208963E1	7.417802282E1
4.672402892E1	6.949053667E1
4.683059033E1	5.893724333E1
4.693709446E1	5.778972601E1
4.704083196E1	6.603858117E1
4.714513325E1	6.164497260E1
4.724986642E1	5.746708370E1
4.735560596E1	5.810218909E1
4.746119438E1	5.857534551E1
4.756769038E1	5.668836883E1
4.767398225E1	5.849976090E1
4.778054217E1	6.029203494E1
4.788618521E1	6.028820730E1
4.799101750E1	7.076329201E1
4.809761542E1	6.520150614E1
4.820347696E1	6.286862788E1
4.830968500E1	6.001437378E1
4.841632396E1	5.954097146E1
4.852276404E1	6.953161137E1
4.862836038E1	8.612963262E1
4.873485846E1	8.345471921E1
4.884125242E1	8.294793096E1
4.894502575E1	7.375162667E1
4.904992479E1	7.088389370E1
4.915600900E1	7.094364427E1
4.926165625E1	8.439558927E1
4.936817975E1	8.631293385E1
4.947396337E1	8.281378915E1
4.957835888E1	9.023422639E1
4.968055304E1	8.370443243E1
4.978646812E1	8.678262180E1
4.989166583E1	7.169079162E1
4.999502875E1	7.351060009E1
5.010062825E1	8.592004464E1
5.020646429E1	8.188963823E1
5.031169188E1	8.593956863E1
5.041644713E1	8.788384933E1
5.052210979E1	7.784672287E1
5.062835946E1	8.634996177E1
5.073063679E1	8.558887337E1
5.083719429E1	8.201629193E1
5.094210754E1	8.740344043E1
5.104502475E1	8.183757917E1
5.114989404E1	8.796570667E1
5.125570450E1	8.616574716E1
5.136169325E1	8.560729880E1
5.146821979E1	9.020963165E1
5.157360733E1	8.180421710E1
5.167752508E1	9.017441431E1
5.178402321E1	8.608386340E1
5.189042817E1	8.628126627E1
5.199502342E1	8.027396631E1
5.210161854E1	8.781222418E1
5.220720500E1	8.031218045E1
5.231166950E1	8.084974407E1
5.241655150E1	8.592603494E1
5.252209313E1	7.903306912E1
5.262839900E1	8.840811892E1
5.273497875E1	8.433988486E1
5.284079238E1	8.517359011E1
5.294505142E1	8.666503095E1
5.304991717E1	8.011284415E1
5.315642767E1	8.850945075E1
5.326170342E1	8.619442580E1
5.336819508E1	8.525457667E1
5.347425375E1	9.017231311E1
5.357833583E1	8.109961036E1
5.368480729E1	8.618742008E1
5.379110388E1	8.710364163E1
5.389503808E1	8.528099535E1
5.399731371E1	8.411497518E1
5.410384413E1	9.007758308E1
5.420972583E1	8.249956880E1
5.431170862E1	9.022542219E1
5.441644158E1	8.760606150E1
5.452212758E1	8.999508498E1
5.462837771E1	8.768693479E1
5.473497550E1	8.913322953E1
5.484113563E1	9.049625552E1
5.494501138E1	8.608220782E1
5.504989958E1	9.033831529E1
5.515634604E1	8.490698861E1
5.526168017E1	9.171311642E1
5.536823625E1	8.572753802E1
5.547454679E1	9.061415807E1
5.557836829E1	8.232077566E1
5.568484046E1	7.878633650E1
5.578653171E1	8.728944532E1
5.589158996E1	9.041952265E1
5.599502483E1	8.860289490E1
